filename,duration_sec,sample_rate,channels
Yali LLL 7 JESUS - Lord Saviour 009 Picture 8 Jesus Heals a Blind Man 65173_006.wav,13.088,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 010 Picture 9 Jesus Calls Lazarus from Death 65173_007.wav,13.268,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_007.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 011 Picture 10 Jesus Dies on the Cross 65173_008.wav,12.61,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 012 Picture 11 Mary and Jesus at the Tomb 65173_007.wav,5.421,16000,1
Yali LLL 7 JESUS - Lord Saviour 013 Picture 12 Jesus Appears to His Friends 65173_001.wav,15.0,16000,1
